Host,Path,Prefix,Desktop Filename,Tablet Filename,Mobile Filename,notes
,/_sites/Trials-Novartis-Oncology/trials-prod.stage.calypso.novartis.episerverhosting.com/index.html?ed=1&call=jQuery.getScript(%27http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss-unbranded.js%27)&wait=3000,000,d000,DNT,m000,Homepage
,/_sites/Trials-Novartis-Oncology/trials-prod.stage.calypso.novartis.episerverhosting.com/index.html?ed=1&accordion=1&call=jQuery.getScript(%27http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss-unbranded.js%27)&wait=3000,100,d100,t100,m100
,/_sites/Trials-Novartis-Oncology/trials-prod.stage.calypso.novartis.episerverhosting.com/clinical-trial-about/?ed=1&call=jQuery.getScript(%27http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss-unbranded.js%27)&wait=3000,200,d200,t200,m200
,/_sites/Trials-Novartis-Oncology/trials-prod.stage.calypso.novartis.episerverhosting.com/clinical-trial-benefits-risks/?ed=1&call=jQuery.getScript(%27http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss-unbranded.js%27)&wait=3000,300,d300,t300,m300
,/_sites/Trials-Novartis-Oncology/trials-prod.stage.calypso.novartis.episerverhosting.com/canopy-a/?ed=1&call=jQuery.getScript(%27http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss-unbranded.js%27)&wait=3000,400,d400,t400,m400
,/_sites/Trials-Novartis-Oncology/trials-prod.stage.calypso.novartis.episerverhosting.com/canopy-1/?ed=1&call=jQuery.getScript(%27http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss-unbranded.js%27)&wait=3000,500,d500,t500,m500
,/_sites/Trials-Novartis-Oncology/trials-prod.stage.calypso.novartis.episerverhosting.com/canopy-2/?ed=1&call=jQuery.getScript(%27http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss-unbranded.js%27)&wait=3000,600,d600,t600,m600
,/_sites/Trials-Novartis-Oncology/trials-prod.stage.calypso.novartis.episerverhosting.com/sitemap/?ed=1&call=jQuery.getScript(%27http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss-unbranded.js%27)&wait=3000,700,d700,t700,m700
,/_sites/Trials-Novartis-Oncology/trials-prod.stage.calypso.novartis.episerverhosting.com/coming-soon/?ed=1&call=jQuery.getScript(%27http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss-unbranded.js%27)&wait=3000,800,d800,t800,m800
,/_sites/Trials-Novartis-Oncology/trials-prod.stage.calypso.novartis.episerverhosting.com/bylieve/?ed=1&call=jQuery.getScript(%27http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss-unbranded.js%27)&wait=3000,900,d900,t900,m900
,/_sites/Trials-Novartis-Oncology/trials-prod.stage.calypso.novartis.episerverhosting.com/chronic-myelogenous-leukemia-phase-II/?ed=1&call=jQuery.getScript(%27http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss-unbranded.js%27)&wait=3000,1000,d1000,t1000,m1000
,/_sites/Trials-Novartis-Oncology/trials-prod.stage.calypso.novartis.episerverhosting.com/chronic-myelogenous-leukemia-phase-III/?ed=1&call=jQuery.getScript(%27http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss-unbranded.js%27)&wait=3000,1100,d1100,t1100,m1100
,/_sites/Trials-Novartis-Oncology/trials-prod.stage.calypso.novartis.episerverhosting.com/cassiopeia/?ed=1&call=jQuery.getScript(%27http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss-unbranded.js%27)&wait=3000,1200,d1200,t1200,m1200
,/_sites/Trials-Novartis-Oncology/trials-prod.stage.calypso.novartis.episerverhosting.com/portia/?ed=1&call=jQuery.getScript(%27http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss-unbranded.js%27)&wait=3000,1300,d1300,t1300,m1300
,/_sites/Trials-Novartis-Oncology/trials-prod.stage.calypso.novartis.episerverhosting.com/elara/?ed=1&call=jQuery.getScript(%27http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss-unbranded.js%27)&wait=3000,1400,d1400,t1400,m1400
,/_sites/Trials-Novartis-Oncology/trials-prod.stage.calypso.novartis.episerverhosting.com/myelodysplastic-syndrome-clinical-trials/?ed=1&call=jQuery.getScript(%27http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss-unbranded.js%27)&wait=3000,1500,d1500,t1500,m1500
